pair_id,scorer,n_seeds,mean_delta,sd_delta,min_delta,max_delta,sign_consistent,greedy_judge_delta,greedy_in_range
qwen_2b,v2,5,2.2204460492503132e-17,0.027156951228000523,-0.039999999999999925,0.025000000000000022,False,0.05499999999999999,True
qwen_2b,judge,5,0.024000000000000007,0.028151376520518488,-0.009999999999999981,0.05500000000000001,False,0.05499999999999999,True
qwen_4b,v2,0,,,,,,0.024999999999999994,
qwen_4b,judge,0,,,,,,0.024999999999999994,
llama_3_2_3b,v2,0,,,,,,0.0,
llama_3_2_3b,judge,0,,,,,,0.0,
