absolute_delta,baseline_alias,baseline_value,benchmark,family,metric,pair_id,quantized_alias,quantized_value,relative_delta
0.030000000000000027,llama_3_2_3b_base,0.95,harmbench,llama,attack_success_rate,llama_3_2_3b,llama_3_2_3b_4bit,0.98,0.03157894736842108
0.0,llama_3_2_3b_base,0.0,xstest,llama,over_refusal_rate,llama_3_2_3b,llama_3_2_3b_4bit,0.0,
-0.043333333333333335,llama_3_2_3b_base,0.61,mmlu,llama,accuracy,llama_3_2_3b,llama_3_2_3b_4bit,0.5666666666666667,-0.07103825136612023
-0.12,qwen_2b_base,0.775,harmbench,qwen,attack_success_rate,qwen_2b,qwen_2b_4bit,0.655,-0.15483870967741933
-0.016,qwen_2b_base,0.032,xstest,qwen,over_refusal_rate,qwen_2b,qwen_2b_4bit,0.016,-0.5
-0.08666666666666667,qwen_2b_base,0.62,mmlu,qwen,accuracy,qwen_2b,qwen_2b_4bit,0.5333333333333333,-0.13978494623655915
-0.04500000000000004,qwen_4b_base,0.86,harmbench,qwen,attack_success_rate,qwen_4b,qwen_4b_4bit,0.815,-0.05232558139534888
0.0,qwen_4b_base,0.016,xstest,qwen,over_refusal_rate,qwen_4b,qwen_4b_4bit,0.016,0.0
-0.0033333333333334103,qwen_4b_base,0.7466666666666667,mmlu,qwen,accuracy,qwen_4b,qwen_4b_4bit,0.7433333333333333,-0.004464285714285817
