pair_id,n,baseline_median_m1,gate_auc_m1,gate_auc_seq_min,m1_mean_delta,m1_ci_low,m1_ci_high,m1_wilcoxon_p,m1_frac_eroded,seqmin_mean_delta,seqmin_wilcoxon_p,dH_harmbench,dH_control,n_flips,median_absm_flips,median_absm_concordant
qwen_2b,200,3.798,0.8709055876685934,0.795546992078784,1.2237514133749545,0.9684898671766613,1.5146581038281177,2.0215979253684682e-14,0.755,-0.21448710534231274,0.01311592665858395,0.02047501571299696,0.21112622058834593,21,3.835512619076887,6.854438849129281
qwen_4b,200,12.986,0.9016865487453722,0.823118058412176,4.028591476503173,3.7237574539532816,4.370647042697455,5.790520823932343e-34,0.955,-0.1171361665430059,0.5076172584591092,0.10645448336641758,0.0199466642001479,9,6.653424399216718,13.31792455313254
llama_3_2_3b,200,13.333,0.8639322916666666,0.42578125000000006,-1.0907002204504732,-1.2960016443806732,-0.8846513679697694,2.818836290425308e-19,0.19,-0.8607130612105087,1.0796445184468459e-08,-0.04858407963428643,0.037786198367183,4,5.842174343765202,13.375099215584608
mistral_7b,200,2.169,0.6920071798120578,0.6515679442508712,0.6623435175614086,0.49485748101226146,0.8193983423085116,5.684707666781829e-17,0.82,0.30720382879854813,3.623278713184963e-05,0.08871368445601516,-0.009297969792028737,48,2.787238165870897,3.012782211334364
phi4_mini,200,8.012,0.8706108706108706,0.8946608946608947,-0.28840993136382687,-0.4051442303419427,-0.17159444651772088,6.185246286576138e-09,0.31,0.5969319309064415,2.911876804423756e-10,-0.0681253841723747,0.0008322950903172366,10,2.8844784094795024,8.168610622165737
